,Episode End Value,action,Nepse Data,Stock price,Normal Investor 
0,20000,1,1766.91,1333.13838094121,20000.0012142958
1,20000,1,1730.64,1291.90729699457,19381.4444757092
2,20000,1,1757.07,1289.50215043102,19345.3619992917
3,20000,1,1753.72,1285.03544967014,19278.351685945
4,20000,1,1749.1,1271.63534738748,19077.3207459043
5,20000,1,1753.38,1254.45572907638,18819.5887714933
6,20000,1,1763.78,1322.83060995455,19845.3620296491
7,20000,0,1780.4,1350.31799925231,20257.7331887068
8,20000,1,1798.5,1404.60559311538,21072.1662278457
9,20000,1,1806.6,1391.54908319894,20876.2899272932
10,20000,1,1819.88,1408.72870151004,21134.0219017043
11,20000,1,1803.74,1391.54908319894,20876.2899272932
12,20000,1,1793.36,1374.36946488785,20618.5579528823
13,20000,1,1792.7,1378.49257328251,20680.4136267409
14,20000,1,1787.89,1370.93354122563,20567.0115580001
15,20000,1,1794.47,1408.72870151004,21134.0219017043
16,20000,1,1782.39,1389.83112136783,20850.5167298521
17,20000,1,1768.89,1381.24131221229,20721.6507426467
18,20000,1,1751,1340.01022826565,20103.0940040602
19,20000,1,1753.46,1356.84625421053,20355.6713389831
20,20000,1,1759.71,1350.31799925231,20257.7331887068
21,20000,1,1762.21,1336.57430460343,20051.547609178
22,20000,1,1749.12,1323.86138705322,19860.8259481139
23,20000,1,1724.49,1293.62525882568,19407.2176731503
24,20000,1,1696.86,1271.29175502126,19072.1661064161
25,20000,1,1697.17,1271.29175502126,19072.1661064161
26,20000,0,1700,1278.1636023457,19175.2588961805
27,20000,1,1706.28,1271.29175502126,19072.1661064161
28,20000,1,1701.91,1271.29175502126,19072.1661064161
29,20000,1,1698.9,1271.29175502126,19072.1661064161
30,20000,1,1658.08,1236.93251839906,18556.702157594
31,20000,1,1599.62,1164.77812149245,17474.2278650677
32,20000,1,1606.29,1178.17822377511,17675.2588051084
33,20000,1,1582.47,1150.34724211113,17257.7330065625
34,20000,1,1540.01,1113.23926655916,16701.0319418347
35,20000,1,1534.03,1082.31595359918,16237.1143878948
36,20000,1,1469.48,1013.59748035479,15206.1864902507
37,20000,1,1510.16,1013.59748035479,15206.1864902507
38,20000,1,1553.68,1068.5722589503,16030.9288083659
39,20000,1,1608.33,1099.49557191027,16494.8463623057
40,20000,1,1600.49,1082.6595459654,16242.269027383
41,20000,2,1570.95,1035.24379942677,15530.9287780086
42,20940.0687139832,1,1544.6,1015.65903455212,15237.11432718
43,20705.0515354874,2,1554.51,1065.13633528808,15979.3824134837
44,20483.090866908,1,1553.9,1052.76701010409,15793.8153919078
45,20124.0368442062,1,1544.68,1041.08486965254,15618.5576493083
46,20019.5847648745,1,1522.8,1022.18728951034,15335.0524774562
47,19947.7739603342,1,1509.43,1016.68981165078,15252.5782456446
48,19954.3022152924,0,1516.08,1012.91029562234,15195.8772112742
49,19954.3022152924,1,1530.06,1013.25388798856,15201.0318507624
50,19954.3022152924,1,1531.35,1022.18728951034,15335.0524774562
51,19954.3022152924,1,1514.88,1008.44359486146,15128.8668979274
52,19954.3022152924,1,1495.99,992.981938381472,14896.9081209575
53,19954.3022152924,1,1470.63,962.058625421496,14432.9905670176
54,19954.3022152924,1,1475.41,968.930472745929,14536.0833567819
55,19954.3022152924,1,1432.57,927.6993887993,13917.5266181956
56,19954.3022152924,1,1407.53,920.827541474859,13814.4338284311
57,19954.3022152924,1,1413.15,910.863362854421,13664.9492832727
58,19954.3022152924,1,1443.38,962.058625421496,14432.9905670176
59,19954.3022152924,1,1465.72,944.191822377947,14164.9493136301
60,19954.3022152924,1,1482.85,934.571236123733,14020.6194079599
61,19954.3022152924,1,1456.82,898.494037670426,13479.3822616967
62,19954.3022152924,1,1457.82,917.391617812638,13762.8874335489
63,19954.3022152924,1,1454.14,910.519770488197,13659.7946437845
64,19954.3022152924,1,1447.45,911.894139953084,13680.4132017373
65,19954.3022152924,1,1458.97,952.781631533498,14293.8153008356
66,19954.3022152924,1,1476.9,989.546014719252,14845.3617260753
67,19954.3022152924,2,1476.51,979.23824373259,14690.7225414286
68,19713.787558937,1,1479.86,975.80232007037,14639.1761465464
69,19335.8359560929,1,1477.72,963.776587252599,14458.7637644586
70,19129.6805363596,1,1466.09,944.879007110394,14175.2585926065
71,19267.1174828485,1,1463.04,934.571236123733,14020.6194079599
72,19260.245635524,1,1462.23,941.443083448174,14123.7121977243
73,18985.3717425465,1,1462.56,941.09949108195,14118.5575582361
74,18717.3696968933,1,1465.84,927.355796433076,13912.3719787073
75,18449.3676512402,1,1457.88,913.955694150418,13711.3410386667
76,17720.9518348497,1,1432.99,900.55559186776,13510.3100986261
77,17617.8741249831,1,1396.61,864.134801048237,12963.9183128748
78,15934.2715304954,1,1375.14,858.980915554906,12886.5987205514
79,16209.145423473,0,1309.7,774.800785830521,11623.7120459373
80,16209.145423473,1,1326.6,788.544480479403,11829.8976254662
81,16209.145423473,1,1389.83,824.62167893271,12371.1347717294
82,16209.145423473,1,1382.45,816.031869777159,12242.2687845238
83,16209.145423473,1,1364.5,802.288175128277,12036.083204995
84,16209.145423473,1,1348.84,785.108556817183,11778.351230584
85,16209.145423473,1,1344.6,788.544480479403,11829.8976254662
86,16209.145423473,1,1322.98,774.113601098082,11613.402766961
87,16209.145423473,1,1296.23,755.903205688315,11340.2068740852
88,16209.145423473,1,1252.5,718.1080454039,10773.196530381
89,16209.145423473,1,1278.98,753.498059124762,11304.1243976677
90,16209.145423473,1,1274.97,719.138822502566,10788.6604488456
91,16209.145423473,1,1316.8,761.057091181645,11417.5264664086
92,16209.145423473,1,1343.85,779.954671323852,11701.0316382607
93,16209.145423473,1,1369.35,807.442060621608,12113.4027973183
94,16209.145423473,1,1365.11,802.288175128277,12036.083204995
95,16209.145423473,1,1357.57,783.390594986072,11752.5780331429
96,16209.145423473,1,1344.11,773.426416365635,11603.0934879845
97,16209.145423473,1,1337.46,771.364862168301,11572.1656510551
98,16209.145423473,1,1313.01,751.43650492743,11273.1965607384
99,16209.145423473,1,1299.29,743.877472870547,11159.7944919975
100,16209.145423473,1,1316.8,778.236709492742,11675.2584408196
101,16209.145423473,1,1329.41,793.35477360651,11902.0625783013
102,16209.145423473,1,1354.34,829.77556442604,12448.4543640527
103,16209.145423473,1,1358.41,835.616634651811,12536.0832353524
104,16209.145423473,1,1341.6,831.493526257151,12474.2275614938
105,16209.145423473,1,1347.53,829.77556442604,12448.4543640527
106,16209.145423473,1,1355.23,852.291471100279,12786.2423741075
107,16209.145423473,1,1347.09,864.467063544568,12968.9029794518
108,16209.145423473,1,1356.13,858.589191330083,12880.7219975614
109,16209.145423473,1,1357.34,863.207519498607,12950.007054761
110,16209.145423473,1,1382.19,917.787761490251,13768.830458029
111,16209.145423473,1,1424.38,995.039796309192,14927.7805057314
112,16209.145423473,1,1462.23,986.642836002785,14801.8076744594
113,16209.145423473,1,1481.08,986.642836002785,14801.8076744594
114,16209.145423473,2,1486.04,982.444355849582,14738.8212588234
115,17404.8725711053,1,1533.83,995.879492339833,14940.3777888586
116,17068.9941588491,1,1610.62,1070.61243906685,16061.5359871793
117,17223.4982284869,1,1588.29,1049.62003830084,15746.6039089994
118,18607.3172869827,1,1587.64,1059.2765426532,15891.4726649621
119,17579.5293454786,1,1667.11,1145.76523380919,17188.9928270636
120,17438.4604123309,1,1660.52,1081.52848746518,16225.3006678329
121,17068.9941588491,1,1657.02,1072.71167914345,16093.0291949972
122,16894.3373844759,1,1651.04,1049.62003830084,15746.6039089994
123,17404.8725711053,1,1651.6,1038.70398990251,15582.8392283458
124,17371.2847298797,1,1676.49,1070.61243906685,16061.5359871793
125,17001.8184763978,2,1709.82,1068.51319899025,16030.0427793613
126,17001.8184763978,0,1703.07,1045.42155814763,15683.6174933633
127,17001.8184763978,1,1697.13,1045.42155814763,15683.6174933633
128,17001.8184763978,1,1651.61,1004.69630066156,15072.6492616942
129,17001.8184763978,1,1612.04,1003.4367566156,15053.7533370034
130,17001.8184763978,1,1662.02,1003.4367566156,15053.7533370034
131,17001.8184763978,0,1658.34,999.238276462396,14990.7669213674
132,17001.8184763978,1,1693.72,1026.52839745822,15400.1786230014
133,17001.8184763978,1,1675.78,1003.4367566156,15053.7533370034
134,17001.8184763978,1,1672.38,986.642836002785,14801.8076744594
135,17001.8184763978,2,1670.3,957.253474930362,14360.9027650074
136,16744.8714910217,1,1670.62,957.673322945682,14367.201406571
137,17101.742304044,1,1650.78,942.55879439415,14140.4503102814
138,17422.9260357641,1,1658.33,963.551195160167,14455.3823884614
139,17351.5518731596,1,1662.38,982.444355849582,14738.8212588234
140,17094.6048877836,1,1653.18,978.245875696379,14675.8348431874
141,17066.0552227418,2,1628.98,963.131347144847,14449.0837468978
142,17137.4293853463,1,1637.3,961.451955083565,14423.8891806434
143,17016.0933089187,2,1650.81,965.650435236769,14486.8755962794
144,17030.3681414396,1,1658.58,958.513018976323,14379.7986896982
145,16966.1313950956,1,1659.23,959.352715006964,14392.3959728254
146,16923.3068975329,1,1649.24,955.574082869081,14335.708198753
147,16880.4823999702,1,1644.26,953.054994777159,14297.9163493714
148,16502.1993381666,1,1643.87,950.535906685237,14260.1244999898
149,16395.1380942599,1,1627.24,928.283961873259,13926.296497119
150,16195.2904389674,0,1616.4,921.986241643454,13831.816873665
151,16195.2904389674,1,1604.31,910.230497214485,13655.4549098842
152,16195.2904389674,1,1593.81,898.894600800836,13485.391587667
153,16195.2904389674,1,1602.65,890.917488509749,13365.7173979586
154,16195.2904389674,1,1637.37,908.970953168524,13636.5589851934
155,16195.2904389674,1,1623.13,911.909889275766,13680.6494761386
156,16195.2904389674,1,1615.19,904.77247301532,13573.5725695574
157,16195.2904389674,1,1590.49,890.497640494429,13359.418756395
158,16195.2904389674,1,1580.52,881.260984157382,13220.8486419958
159,16195.2904389674,1,1585.15,882.520528203342,13239.7445666866
160,16195.2904389674,1,1584.49,881.680832172702,13227.1472835594
161,16195.2904389674,1,1589.59,885.459464310585,13283.8350576318
162,16195.2904389674,1,1575.98,877.482352019499,13164.1608679234
163,16195.2904389674,0,1555.16,869.925087743732,13050.7853197786
164,16195.2904389674,1,1551.07,859.428887360724,12893.3192806886
165,16195.2904389674,1,1554.69,861.108279422006,12918.5138469431
166,16195.2904389674,1,1559.49,858.589191330083,12880.7219975614
167,16195.2904389674,1,1567.72,869.085391713092,13038.1880366514
168,16195.2904389674,1,1565.09,871.184631789694,13069.6812444694
169,16195.2904389674,1,1563.81,858.589191330083,12880.7219975614
170,16195.2904389674,0,1541.82,841.79527071727,12628.7763350175
171,16195.2904389674,1,1544.29,850.192231023677,12754.7491662895
172,16195.2904389674,1,1541.28,839.696030640669,12597.2831271995
173,16195.2904389674,1,1551.06,860.268583391365,12905.9165638158
174,16195.2904389674,1,1582.11,911.070193245125,13668.0521930114
175,16195.2904389674,1,1584.15,914.428977367688,13718.4413255202
176,16195.2904389674,1,1575.22,898.894600800836,13485.391587667
177,16195.2904389674,1,1575.22,898.894600800836,13485.391587667
178,16195.2904389674,1,1585.01,906.871713091922,13605.0657773754
179,16195.2904389674,1,1587.25,908.551105153203,13630.2603436298
180,16195.2904389674,1,1582.67,901.833536908078,13529.4820786122
181,16195.2904389674,1,1583.57,902.673232938719,13542.0793617394
182,16195.2904389674,1,1604.15,910.230497214485,13655.4549098842
183,16195.2904389674,1,1638.41,954.31453882312,14316.8122740622
184,16195.2904389674,1,1637.27,953.894690807799,14310.5136324986
185,16195.2904389674,1,1635.75,953.894690807799,14310.5136324986
186,16195.2904389674,1,1635.56,966.490131267409,14499.4728794066
187,16195.2904389674,1,1629.08,970.268763405293,14556.160653479
188,16195.2904389674,1,1636.19,969.848915389972,14549.8620119154
189,16195.2904389674,1,1645.03,978.245875696379,14675.8348431874
190,16195.2904389674,1,1646.53,970.688611420613,14562.4592950426
191,16195.2904389674,1,1643.28,965.650435236769,14486.8755962794
192,16195.2904389674,1,1652.69,964.390891190808,14467.9796715886
193,16195.2904389674,1,1660.25,955.15423485376,14329.4095571894
194,16195.2904389674,1,1662.74,955.15423485376,14329.4095571894
195,16195.2904389674,1,1665.05,936.680922179666,14052.269328391
196,16195.2904389674,2,1667.94,938.780162256267,14083.762536209
197,16123.916276363,1,1661.72,934.161834087744,14014.4774790094
198,15866.9692909869,1,1653.53,929.96335393454,13951.4910633734
199,15659.984219434,1,1642.13,914.848825383008,13724.7399670838
200,15724.220965778,1,1629.16,902.673232938719,13542.0793617394
201,15659.984219434,1,1632.66,906.451865076602,13598.7671358118
202,15610.0223056109,1,1629.75,902.673232938719,13542.0793617394
203,15517.2358942251,1,1617.97,899.734296831476,13497.9888707942
204,15495.8236454438,1,1611.57,894.276272632312,13416.1065304674
205,15502.9610617042,1,1614.05,893.016728586351,13397.2106057766
206,15552.9229755273,1,1611.27,893.436576601671,13403.5092473402
207,15495.8236454438,1,1617.81,896.375512708914,13447.5997382854
208,15438.7243153602,1,1622.32,893.016728586351,13397.2106057766
209,15231.7392438073,1,1612.91,889.657944463788,13346.8214732678
210,15017.6167559939,1,1598.36,877.482352019499,13164.1608679234
211,14874.868430785,1,1580.03,864.886911559888,12975.2016210154
212,14946.2425933894,1,1554.56,856.489951253482,12849.2287897435
213,14817.7691007014,1,1566.5,860.688431406685,12912.2152053794
214,14482.3105364605,1,1554.55,853.131167130919,12798.8396572346
215,14625.0588616694,1,1519.66,833.398310410863,12502.8035037455
216,14375.2492925538,1,1523.26,841.79527071727,12628.7763350175
217,14368.1118762933,1,1502.2,827.100590181058,12408.3238802915
218,14510.8602015023,1,1493.2,826.680742165738,12402.0252387279
219,14632.1962779298,1,1530.31,835.077702472145,12527.9980699999
220,14532.2724502836,1,1547.94,842.215118732591,12635.0749765811
221,14517.9976177627,1,1543.7,836.337246518106,12546.8939946907
222,14589.3717803672,1,1539.81,835.497550487465,12534.2967115635
223,14560.8221153254,1,1536.92,839.696030640669,12597.2831271995
224,14589.3717803672,1,1545.44,838.016638579387,12572.0885609451
225,14603.646612888,2,1549.46,839.696030640669,12597.2831271995
226,14517.9976177627,1,1556.35,840.535726671309,12609.8804103267
227,14182.5390535217,1,1542.65,835.497550487465,12534.2967115635
228,14232.5009673449,1,1510.01,815.764693767409,12238.2605580743
229,14375.2492925538,1,1501.89,818.703629874652,12282.3510490195
230,14389.5241250747,1,1502.63,827.100590181058,12408.3238802915
231,14503.7227852418,1,1505.99,827.940286211699,12420.9211634187
232,14360.9744600329,1,1510.02,834.657854456825,12521.6994284363
233,14753.5323543574,1,1518.28,826.260894150418,12395.7265971643
234,14617.9214454089,1,1564.9,849.352534993036,12742.1518831622
235,14710.7078567947,1,1559.18,841.37542270195,12622.4776934539
236,14696.4330242739,1,1568.35,846.833446901114,12704.3600337807
237,14517.9976177627,1,1571.92,845.993750870474,12691.7627506535
238,14517.9976177627,1,1568.3,835.497550487465,12534.2967115635
239,14389.5241250747,1,1567.64,835.497550487465,12534.2967115635
240,14289.6002974284,1,1553.66,827.940286211699,12420.9211634187
241,14268.1880486471,1,1540.23,822.062413997215,12332.7401815283
242,14303.8751299493,2,1536.72,820.802869951253,12313.8442568375
243,14175.4016372613,1,1533.53,822.902110027855,12345.3374646555
244,14104.0274746569,1,1526.51,815.344845752089,12231.9619165107
245,13947.004316927,1,1522.81,811.146365598886,12168.9755008747
246,13932.7294844062,1,1496.46,801.909709261838,12030.4053864755
247,13861.3553218017,1,1493.42,801.070013231198,12017.8081033483
