,Episode End Value,action,Nepse Data,Stock price
628,26322.0,2,1167.67,776.0
629,26586.0,2,1182.78,776.0
630,26619.0,0,1168.17,784.0
631,26619.0,0,1162.7,785.0
632,26619.0,0,1165.97,784.0
633,26619.0,0,1198.18,795.0
634,26619.0,0,1191.74,790.0
635,26619.0,0,1186.03,785.0
636,26619.0,0,1216.27,792.0
637,26619.0,0,1215.16,797.0
638,26619.0,0,1204.54,743.0
639,26619.0,0,1187.28,734.0
640,26619.0,0,1185.91,734.0
641,26619.0,0,1180.43,730.0
642,26619.0,0,1178.87,731.0
643,26619.0,0,1170.79,734.0
644,26619.0,2,1177.46,731.0
645,26511.0,2,1177.07,733.0
646,26583.0,2,1179.36,730.0
647,26511.0,2,1180.84,732.0
648,26871.0,2,1175.05,730.0
649,26727.0,2,1178.03,740.0
650,26295.0,2,1195.54,736.0
651,26619.0,2,1187.97,724.0
652,26691.0,2,1187.77,733.0
653,26367.0,2,1179.17,735.0
654,26475.0,2,1168.06,726.0
655,26511.0,2,1168.83,729.0
656,26511.0,2,1172.98,730.0
657,26475.0,2,1172.78,730.0
658,26439.0,2,1162.09,729.0
659,26511.0,2,1164.89,728.0
660,26511.0,2,1160.99,730.0
661,26475.0,2,1160.59,730.0
662,25935.0,2,1161.63,729.0
663,25719.0,2,1153.06,714.0
664,25863.0,2,1144.27,708.0
665,25791.0,2,1147.1,712.0
666,25683.0,2,1139.72,710.0
667,25539.0,2,1139.57,707.0
668,25611.0,2,1127.53,703.0
669,25431.0,2,1128.86,705.0
670,25359.0,2,1128.19,700.0
671,25251.0,2,1121.08,698.0
672,24963.0,2,1112.87,695.0
673,24567.0,2,1109.72,687.0
674,24999.0,2,1102.51,676.0
675,24999.0,2,1124.96,688.0
676,25035.0,2,1112.23,688.0
677,24639.0,2,1113.07,689.0
678,25071.0,2,1102.32,678.0
679,24747.0,2,1109.73,690.0
680,24855.0,2,1102.56,681.0
681,24891.0,1,1105.53,684.0
682,24711.0,1,1100.58,685.0
683,24711.0,1,1102.64,680.0
684,24855.0,1,1111.76,680.0
685,24783.0,1,1127.77,684.0
686,24639.0,1,1128.65,682.0
687,24819.0,1,1142.93,678.0
688,24711.0,1,1163.26,683.0
689,24891.0,1,1150.1,680.0
690,24819.0,1,1155.46,685.0
691,24819.0,1,1161.45,683.0
692,24459.0,1,1153.98,683.0
693,24603.0,1,1147.15,673.0
694,24639.0,1,1140.6,677.0
695,24495.0,1,1134.8,678.0
696,24711.0,1,1138.67,674.0
697,24711.0,1,1140.72,680.0
698,24891.0,1,1142.61,680.0
699,24963.0,1,1144.53,685.0
700,24675.0,1,1143.59,687.0
701,24927.0,1,1149.99,679.0
702,24855.0,1,1163.82,686.0
703,24891.0,1,1165.84,684.0
704,24891.0,0,1165.2,685.0
705,24891.0,1,1182.36,685.0
706,24891.0,1,1191.68,680.0
707,24891.0,1,1181.1,678.0
708,24891.0,1,1184.61,685.0
709,24891.0,1,1184.02,682.0
710,24891.0,1,1188.71,677.0
711,24891.0,1,1212.05,680.0
712,24891.0,1,1217.04,680.0
713,24891.0,1,1232.26,682.0
714,24891.0,1,1264.2,695.0
715,24891.0,1,1256.94,690.0
716,24891.0,1,1260.68,690.0
717,24891.0,2,1279.29,695.0
718,24751.0,1,1292.12,704.0
719,24996.0,0,1314.51,700.0
720,24996.0,2,1310.31,707.0
721,24926.0,2,1298.6,700.0
722,25101.0,2,1294.39,698.0
723,24996.0,2,1277.68,703.0
724,25136.0,2,1299.41,700.0
725,25136.0,2,1301.28,704.0
726,25136.0,2,1297.6,704.0
727,25031.0,2,1291.96,704.0
728,25451.0,2,1295.03,701.0
729,25591.0,2,1301.34,713.0
730,25731.0,1,1315.45,717.0
731,25801.0,1,1321.0,721.0
732,26011.0,1,1318.71,723.0
733,26221.0,1,1316.84,729.0
734,26011.0,1,1307.71,735.0
735,26046.0,1,1312.14,729.0
736,26396.0,1,1319.63,730.0
737,25906.0,1,1314.55,740.0
738,25976.0,1,1302.61,726.0
739,26011.0,1,1302.96,728.0
