,Episode End Value,action,Nepse Data,Stock price
0,20000.000000000004,2,1481.18,787.2604707560629
1,19887.64122681883,0,1481.94,781.2680028530671
2,19887.64122681882,2,1477.38,776.77365192582
3,20262.17047075605,0,1467.51,773.028359486448
4,20262.17047075606,2,1483.53,788.0095292439371
5,20355.80278174038,0,1496.43,788.0095292439371
6,20355.802781740374,2,1499.32,791.75482168331
7,20374.529243937224,0,1509.39,788.758587731812
8,20374.529243937224,2,1524.07,789.507646219686
9,20131.085235378025,0,1544.53,801.492582025678
10,20131.085235378036,2,1524.12,791.75482168331
11,20112.35877318118,0,1525.09,788.0095292439371
12,20112.35877318118,2,1522.25,787.2604707560629
13,19943.82061340942,0,1526.96,777.5227104136951
14,19943.820613409433,2,1532.12,770.781184022825
15,19831.46184022826,0,1523.56,770.781184022825
16,19831.461840228272,2,1518.12,766.286833095578
17,20240.447774607735,0,1483.14,746.0622539229671
18,20240.447774607743,2,1516.8,761.792482168331
19,20279.39881597722,0,1531.49,776.024593437946
20,20279.398815977223,2,1546.8,777.5227104136951
21,21194.748288159823,0,1566.7,777.5227104136951
22,21194.748288159815,2,1597.96,812.7284593437951
23,20941.56651925825,0,1609.59,801.492582025678
24,20941.56651925826,2,1614.15,791.75482168331
25,20980.517560627763,0,1620.47,794.751055634807
26,20980.517560627763,2,1632.94,796.2491726105569
27,20999.993081312517,0,1622.27,789.507646219686
28,20999.993081312517,2,1615.1,790.2567047075611
29,21214.22380884461,0,1628.81,793.2529386590589
30,21214.223808844614,2,1647.51,801.492582025678
31,21759.538388017227,0,1666.29,811.97940085592
32,21759.538388017227,2,1685.0,832.9530385164051
33,21946.803009985848,0,1721.77,850.181383737518
34,21946.803009985848,2,1724.19,857.6719686162629
35,21609.726690442323,0,1724.59,850.181383737518
36,21609.72669044233,2,1723.23,836.698330955777
37,21572.273766048602,0,1719.2,832.9530385164051
38,21572.273766048605,2,1716.83,831.454921540656
39,21533.322724679132,0,1713.21,826.211512125535
40,21533.322724679147,2,1715.72,824.713395149786
41,21402.237489301126,0,1722.53,831.454921540656
42,21402.23748930113,2,1702.27,826.211512125535
43,21110.104679030082,0,1693.07,820.2190442225391
44,21110.104679030082,2,1690.43,808.983166904422
45,21334.822225392432,0,1718.15,813.477517831669
46,21334.822225392432,2,1745.74,822.4662196861631
47,21559.539771754782,0,1786.59,829.2077460770329
48,21559.53977175479,2,1800.47,838.1964479315269
49,21615.719158345397,0,1786.84,839.694564907275
50,21615.7191583454,2,1798.83,841.9417403708991
51,21522.0868473611,0,1838.49,853.92667617689
52,21522.0868473611,2,1866.5,850.181383737518
53,21503.360385164226,0,1881.45,856.173851640514
54,21503.360385164233,2,1877.93,855.424793152639
55,21409.728074179908,0,1862.76,854.6757346647651
56,21409.728074179908,2,1845.41,850.930442225392
57,20922.84005706151,0,1826.47,847.18514978602
58,20922.84005706152,2,1813.72,827.709629101284
59,20960.292981455244,0,1768.6,812.7284593437951
60,20960.292981455244,2,1764.72,814.226576319544
61,21758.78932952942,0,1675.91,777.5227104136951
62,21758.789329529434,2,1760.42,808.234108416548
63,21856.166932953132,0,1779.57,815.724693295292
64,21856.166932953136,2,1774.87,819.4699857346651
65,21135.572667617907,0,1733.93,811.97940085592
66,21135.572667617907,2,1694.81,784.2642368045649
67,21174.523708987355,0,1717.45,793.2529386590589
68,21174.52370898737,2,1734.93,794.751055634807
69,21057.67058487898,0,1722.43,794.751055634807
70,21057.670584878993,2,1683.12,790.2567047075611
71,21155.048188302688,0,1681.86,794.751055634807
72,21155.04818830268,2,1730.62,798.49634807418
73,21116.097146933207,0,1748.23,806.7359914407989
74,21116.097146933207,0,1766.54,805.23787446505
75,21116.097146933203,2,1788.08,821.717161198288
76,21153.550071326925,1,1797.45,819.4699857346651
77,21528.079315264153,0,1805.18,820.968102710414
78,21528.079315264145,2,1819.83,835.949272467903
79,21322.08823109867,0,1838.9,858.421027104137
80,21322.08823109867,2,1834.8,850.181383737518
81,21070.404579172864,0,1824.83,856.922910128388
82,21070.404579172875,2,1823.05,846.436091298146
83,20901.866419401125,0,1816.81,836.698330955777
84,20901.866419401133,2,1818.69,829.9568045649071
85,20560.2957489304,0,1815.17,836.698330955777
86,20560.29574893041,2,1804.48,822.4662196861631
87,20185.76650499319,0,1786.5,815.724693295292
88,20185.76650499319,2,1766.91,800.7435235378031
89,21140.06701854526,0,1730.64,771.530242510699
90,21140.067018545265,2,1757.1,808.234108416548
91,21101.115977175796,0,1753.72,802.2416405135519
92,21101.115977175796,2,1749.1,800.7435235378031
93,20970.030741797767,0,1753.38,813.477517831669
94,20970.030741797767,2,1763.78,808.234108416548
95,21119.842439372667,0,1780.4,811.230342368046
96,21119.84243937268,2,1798.5,817.222810271042
97,21007.4836661915,0,1806.6,812.7284593437951
98,21007.48366619149,2,1819.88,808.234108416548
99,21065.910228245688,2,1803.74,802.990699001427
100,21241.189914408304,1,1793.36,805.23787446505
101,21260.66543509306,0,1792.73,811.97940085592
102,21260.66543509306,2,1787.89,812.7284593437951
103,21007.483666191492,1,1794.47,810.4812838801711
104,20715.350855920446,2,1782.39,800.7435235378031
105,20598.49773181205,2,1768.89,789.507646219686
106,20715.350855920446,2,1751.0,785.01329529244
107,20890.63054208309,2,1753.46,789.507646219686
108,20949.05710413729,2,1759.71,796.2491726105569
109,20715.350855920446,2,1762.21,798.49634807418
110,20540.071169757826,2,1749.12,789.507646219686
111,20345.315962910456,2,1724.49,782.766119828816
